RegionID,RegionName,PopRank,tier,Date,Mortgage/Income ratio
394856,"Miami-Fort Lauderdale, FL",8,Middle Tier,1999-12-31,0.185788944366372
394856,"Miami-Fort Lauderdale, FL",8,Upper Tier,1999-12-31,0.149089276381282
394862,"Milwaukee, WI",38,Bottom Tier,1999-12-31,0.293152838393054
394862,"Milwaukee, WI",38,Middle Tier,1999-12-31,0.204519739561699
394862,"Milwaukee, WI",38,Upper Tier,1999-12-31,0.167071145122228
394865,"Minneapolis-St Paul, MN",16,Bottom Tier,1999-12-31,0.299205855832008
394865,"Minneapolis-St Paul, MN",16,Middle Tier,1999-12-31,0.181180355045819
394865,"Minneapolis-St Paul, MN",16,Upper Tier,1999-12-31,0.146691152544772
394902,"Nashville, TN",36,Bottom Tier,1999-12-31,0.275377093019236
394902,"Nashville, TN",36,Middle Tier,1999-12-31,0.182285230283052
394902,"Nashville, TN",36,Upper Tier,1999-12-31,0.158483668199638
394910,"New Orleans, LA",45,Bottom Tier,1999-12-31,
394910,"New Orleans, LA",45,Upper Tier,1999-12-31,
394913,"New York, NY",1,Bottom Tier,1999-12-31,0.584745128368549
394913,"New York, NY",1,Middle Tier,1999-12-31,0.274300073544507
394913,"New York, NY",1,Upper Tier,1999-12-31,
394935,"Oklahoma City, OK",41,Bottom Tier,1999-12-31,0.205217595932244
394935,"Oklahoma City, OK",41,Middle Tier,1999-12-31,0.143699681231176
394935,"Oklahoma City, OK",41,Upper Tier,1999-12-31,0.121416443068961
